Stock Code,Emiten Name,In Date,Out Date
ABDA,Asuransi Bina Dana Arta Tbk,31-05-2022,
ADMR,PT Adaro Minerals Indonesia Tbk,28-01-2022,01-03-2022
AKKU,PT Anugerah Kagum Karya Utama Tbk,31-05-2022,
ANDI,PT Andira Agro Tbk,31-05-2022,
ARGO,Argo Pantes Tbk,31-05-2022,
ARKA,PT Arkha Jayanti Persada Tbk.,12-04-2022,06-06-2022
ARMY,PT Armidian Karyatama Tbk,31-05-2022,
ARTI,Ratu Prabu Energi Tbk,31-05-2022,
ASPI,PT Andalan Sakti Primaindo Tbk.,13-05-2022,03-06-2022
ASRM,Asuransi Ramayana Tbk,31-05-2022,
AYLS,PT Agro Yasa Lestari Tbk,12-10-2021,11-11-2021
AYLS,PT Agro Yasa Lestari Tbk,01-09-2022,
BAPI,PT Bhakti Agung Propertindo Tbk.,31-05-2022,
BBRM,Pelayaran Nasional Bina Buana Raya Tbk,31-05-2022,
BCAP,MNC Kapital Indonesia Tbk,24-02-2022,24-03-2022
BCIC,PT Bank JTrust Indonesia Tbk.,05-10-2021,04-11-2021
BEEF,PT Estika Tata Tiara Tbk.,31-05-2022,
BELL,PT Trisula Textile Industries Tbk,03-06-2022,04-07-2022
BIKA,PT Binakarya Jaya Abadi Tbk.,31-05-2022,
BIMA,Primarindo Asia Infrastructure Tbk,02-09-2022,
BINA,PT Bank Ina Perdana Tbk.,21-07-2021,20-08-2021
BKDP,Bukit Darmo Property Tbk,08-02-2022,10-03-2022
BLTA,Berlian Laju Tanker Tbk,31-05-2022,
BLTZ,PT Graha Layar Prima Tbk.,31-05-2022,
BMSR,Bintang Mitra Semestaraya Tbk,28-06-2022,28-07-2022
BNBR,Bakrie & Brothers Tbk,31-05-2022,
BOLA,PT Bali Bintang Sejahtera Tbk.,20-08-2021,20-09-2021
BOSS,PT Borneo Olah Sarana Sukses Tbk.,31-05-2022,
BPTR,PT Batavia Prosperindo Trans Tbk.,28-12-2021,27-01-2022
BSWD,Bank of India Indonesia Tbk,31-05-2022,
BTEK,Bumi Teknokultura Unggul Tbk,31-05-2022,
BTEL,Bakrie Telecom Tbk,31-05-2022,
BUVA,PT Bukit Uluwatu Villa Tbk,31-05-2022,
CANI,PT Capitol Nusantara Indonesia Tbk.,31-05-2022,
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk,31-05-2022,
CMPP,PT AirAsia Indonesia Tbk,22-02-2022,23-03-2022
CMPP,PT AirAsia Indonesia Tbk,31-05-2022,
CNKO,Exploitasi Energi Indonesia Tbk,31-05-2022,
CNTX,PT Century Textile Industry Tbk,31-05-2022,
COWL,COWELL DEVELOPMENT Tbk,31-05-2022,
CPRI,PT Capri Nusa Satu Properti Tbk.,31-05-2022,
CTBN,Citra Tubindo Tbk,31-05-2022,
CTTH,Citatah Tbk,31-05-2022,
DADA,PT Diamond Citra Propertindo Tbk.,31-05-2022,
DCII,PT DCI Indonesia Tbk,12-08-2021,13-09-2021
DEAL,PT Dewata Freightinternational Tbk.,31-05-2022,
DEFI,Danasupra Erapacific Tbk,31-05-2022,
DPUM,PT Dua Putra Utama Makmur Tbk.,31-05-2022,
DUCK,PT Jaya Bersama Indo Tbk.,31-05-2022,
ELTY,Bakrieland Development Tbk,31-05-2022,
ENVY,PT Envy Technologies Indonesia Tbk,19-07-2021,
ETWA,Eterindo Wahanatama Tbk,31-05-2022,
FITT,PT Hotel Fitra International Tbk,24-11-2021,24-12-2021
FORZ,PT Forza Land Indonesia Tbk.,31-05-2022,
GAMA,Aksara Global Development Tbk,31-05-2022,
GIAA,Garuda Indonesia (Persero) Tbk,21-07-2021,
GLOB,PT Globe Kita Terang Tbk,31-05-2022,
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk.,29-07-2021,
GMTD,Gowa Makassar Tourism Development Tbk,31-05-2022,
GOLL,PT Golden Plantation Tbk,19-07-2021,
GTBO,Garda Tujuh Buana Tbk,19-07-2021,
HADE,PT Himalaya Energi Perkasa Tbk,31-05-2022,
HDTX,Panasia Indo Resources Tbk,31-05-2022,
HITS,Humpuss Intermoda Transportasi Tbk,08-06-2022,08-07-2022
HOME,Hotel Mandarine Regency Tbk,31-05-2022,
HOPE,PT Harapan Duta Pertiwi Tbk.,24-05-2022,24-06-2022
HOTL,Saraswati Griya Lestari Tbk,31-05-2022,
IATA,PT MNC Energy Investments Tbk,31-05-2022,
IBFN,PT Intan Baruprana Finance Tbk,19-07-2021,
IIKP,Inti Agri Resources Tbk,31-05-2022,
IKAI,Intikeramik Alamasri Industri Tbk,31-05-2022,
INPP,Indonesian Paradise Property Tbk,31-05-2022,
INPS,PT Indah Prakasa Sentosa Tbk.,31-05-2022,
INTA,Intraco Penta Tbk,19-07-2021,
JGLE,PT Graha Andrasentra Propertindo Tbk.,31-05-2022,
JKSW,Jakarta Kyoei Steel Works Tbk,31-05-2022,
JSPT,Jakarta Setiabudi Internasional Tbk,31-05-2022,
KARW,ICTSI JASA PRIMA Tbk,31-05-2022,
KAYU,PT Darmi Bersaudara Tbk.,02-12-2021,10-05-2022
KAYU,PT Darmi Bersaudara Tbk.,31-05-2022,
KBRI,Kertas Basuki Rachmat Indonesia Tbk,19-07-2021,
KIAS,Keramika Indonesia Assosiasi Tbk,31-05-2022,
KJEN,PT Krida Jaringan Nusantara Tbk.,30-05-2022,30-06-2022
KONI,Perdana Bangun Pusaka Tbk,08-02-2022,10-03-2022
KPAL,PT Steadfast Marine Tbk,31-05-2022,
KPAS,PT Cottonindo Ariesta Tbk.,31-05-2022,
KRAH,PT Grand Kartech Tbk,19-07-2021,27-07-2021
KRAH,PT Grand Kartech Tbk,31-05-2022,
LAPD,Leyand International Tbk,19-07-2021,
LCGP,PT Eureka Prima Jakarta Tbk.,31-05-2022,
LCKM,PT LCK Global Kedaton Tbk,31-05-2022,
MABA,PT Marga Abhinaya Abadi Tbk,19-07-2021,
MAGP,Multi Agro Gemilang Plantation Tbk,31-05-2022,
MAMI,Mas Murni Indonesia Tbk,31-05-2022,
MDIA,PT Intermedia Capital Tbk.,31-05-2022,
MDRN,Modern Internasional Tbk,31-05-2022,
MGNA,PT Magna Investama Mandiri Tbk,19-07-2021,
MINA,PT Sanurhasta Mitra Tbk.,31-05-2022,
MIRA,Mitra International Resources Tbk,31-05-2022,
MKNT,PT Mitra Komunikasi Nusantara Tbk.,31-05-2022,
MKPI,Metropolitan Kentjana Tbk,31-05-2022,
MSIN,PT MNC Studios International Tbk.,05-01-2022,04-02-2022
MTFN,Capitalinc Investment Tbk,31-05-2022,
MTPS,PT Meta Epsi Tbk.,31-05-2022,
MTRA,PT Mitra Pemuda Tbk.,19-07-2021,24-05-2022
MTRA,PT Mitra Pemuda Tbk.,31-05-2022,
MYRX,Hanson International Tbk,14-10-2021,
MYTX,PT Asia Pacific Investama Tbk.,31-05-2022,
NIPS,Nipress Tbk,31-05-2022,
NUSA,PT Sinergi Megah Internusa Tbk,31-05-2022,
OASA,PT Protech Mitra Perkasa Tbk,06-01-2022,07-02-2022
OCAP,ONIX CAPITAL Tbk,19-07-2021,
OKAS,Ancora Indonesia Resources Tbk,31-05-2022,02-08-2022
OMRE,Indonesia Prima Property Tbk,31-05-2022,
PADI,Minna Padi Investama Sekuritas Tbk,31-05-2022,
PALM,Provident Agro Tbk,17-06-2022,
PANI,PT Pratama Abadi Nusa Industri Tbk.,27-10-2021,29-08-2022
PANI,PT Pratama Abadi Nusa Industri Tbk.,29-07-2022,29-08-2022
PBRX,Pan Brothers Tbk,19-07-2021,28-07-2021
PEGE,PT Panca Global Kapital Tbk.,23-08-2021,22-09-2021
PICO,Pelangi Indah Canindo Tbk,19-07-2021,13-06-2022
PKPK,Perdana Karya Perkasa Tbk,11-10-2021,10-11-2021
PKPK,Perdana Karya Perkasa Tbk,01-09-2022,
PLAS,Polaris Investama Tbk,31-05-2022,
PNSE,Pudjiadi & Sons Tbk,31-05-2022,
POLL,PT Pollux Properti Indonesia Tbk.,19-07-2021,14-10-2021
POLY,Asia Pacific Fibers Tbk,31-05-2022,
POOL,Pool Advista Indonesia Tbk,31-05-2022,
POSA,PT Bliss Properti Indonesia Tbk.,31-05-2022,
RELI,Reliance Sekuritas Indonesia Tbk,31-05-2022,
RIMO,PT Rimo International Lestari Tbk.,31-05-2022,
RMBA,Bentoel International Investama Tbk,31-05-2022,
ROCK,PT Rockfields Properti Indonesia Tbk.,31-05-2022,
SAFE,Steady Safe Tbk,31-05-2022,
SBAT,PT Sejahtera Bintang Abadi Textile Tbk.,31-05-2022,
SCPI,PT Organon Pharma Indonesia Tbk,31-05-2022,
SDMU,Sidomulyo Selaras Tbk,27-01-2022,10-10-2022
SDMU,Sidomulyo Selaras Tbk,31-05-2022,08-06-2022
SDMU,Sidomulyo Selaras Tbk,24-08-2022,
SHID,Hotel Sahid Jaya Tbk,08-03-2022,08-04-2022
SIMA,Siwani Makmur Tbk,31-05-2022,
