Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
AIMS,Akbar Indo Makmur Stimec Tbk,20-Jul-01,220.000.000,Pengembangan
AISA,FKS Food Sejahtera Tbk.,11-Jun-97,9.311.800.000,Utama
AKKU,Anugerah Kagum Karya Utama Tbk,1-Nov-04,6.449.463.636,Pengembangan
AKPI,Argha Karya Prima Industry Tbk,18-Dec-92,612.248.000,Pengembangan
AKRA,AKR Corporindo Tbk.,3-Oct-94,20.073.474.600,Utama
AKSI,Mineral Sumberdaya Mandiri Tbk,13-Jul-01,720.000.000,Pengembangan
ALDO,Alkindo Naratama Tbk.,12-Jul-11,1.316.856.070,Pengembangan
ALKA,Alakasa Industrindo Tbk,12-Jul-90,507.665.055,Pengembangan
ALMI,Alumindo Light Metal Industry,2-Jan-97,3.816.000.000,Pengembangan
ALTO,Tri Banyan Tirta Tbk.,10-Jul-12,2.191.870.558,Utama
AMAG,Asuransi Multi Artha Guna Tbk.,23-Dec-05,5.001.552.516,Pengembangan
AMFG,Asahimas Flat Glass Tbk.,8-Nov-95,434.000.000,Utama
AMIN,Ateliers Mecaniques D Indonesi,10-Dec-15,1.080.000.000,Pengembangan
AMRT,Sumber Alfaria Trijaya Tbk.,15-Jan-09,41.524.501.700,Utama
ANJT,Austindo Nusantara Jaya Tbk.,8-May-13,3.354.175.000,Utama
ANTM,Aneka Tambang Tbk.,27-Nov-97,24.030.764.725,Utama
APEX,Apexindo Pratama Duta Tbk.,5-Jun-13,2.796.804.997,Pengembangan
APIC,Pacific Strategic Financial Tb,18-Dec-02,11.766.313.488,Pengembangan
APII,Arita Prima Indonesia Tbk.,29-Oct-13,1.075.760.000,Pengembangan
APLI,Asiaplast Industries Tbk.,1-May-00,1.362.671.400,Utama
APLN,Agung Podomoro Land Tbk.,11-Nov-10,22.699.326.779,Utama
ARGO,Argo Pantes Tbk,7-Jan-91,335.557.450,Pengembangan
ARII,Atlas Resources Tbk.,8-Nov-11,3.431.000.000,Pengembangan
ARNA,Arwana Citramulia Tbk.,17-Jul-01,7.341.430.976,UTAMA
ARTA,Arthavest Tbk,5-Nov-02,446.674.175,Pengembangan
ARTI,Ratu Prabu Energi Tbk,30-Apr-03,7.840.000.000,Pengembangan
ARTO,Bank Jago Tbk.,12-Jan-16,13.717.687.500,Pengembangan
ASBI,Asuransi Bintang Tbk.,29-Nov-89,348.386.472,Pengembangan
ASDM,Asuransi Dayin Mitra Tbk.,15-Dec-89,192.000.000,Utama
ASGR,Astra Graphia Tbk.,15-Nov-89,1.348.780.500,Utama
ASII,Astra International Tbk.,4-Apr-90,40.483.553.140,Utama
ASJT,Asuransi Jasa Tania Tbk.,23-Dec-03,1.288.890.696,Utama
ASMI,Asuransi Maximus Graha Persada,16-Jan-14,8.958.380.460,Utama
BAJA,Saranacentral Bajatama Tbk.,21-Dec-11,1.800.000.000,Pengembangan
BALI,Bali Towerindo Sentra Tbk.,13-Mar-14,3.934.592.500,Utama
BAPA,Bekasi Asri Pemula Tbk.,14-Jan-08,661.784.520,Utama
BATA,Sepatu Bata Tbk.,24-Mar-82,1.300.000.000,Utama
BAYU,Bayu Buana Tbk,30-Oct-89,353.220.780,PENGEMBANGAN
BBCA,Bank Central Asia Tbk.,31-May-00,122.042.299.500,Utama
BBHI,Allo Bank Indonesia Tbk.,12-Aug-15,21.512.953.877,Pengembangan
BBKP,Bank KB Bukopin Tbk.,10-Jul-06,67.019.885.160,Utama
BBLD,Buana Finance Tbk.,7-May-90,1.645.796.054,Pengembangan
BBMD,Bank Mestika Dharma Tbk.,8-Jul-13,4.049.189.100,Utama
BBNI,Bank Negara Indonesia (Persero,25-Nov-96,18.462.169.893,Utama
BBRI,Bank Rakyat Indonesia (Persero,10-Nov-03,150.043.411.587,Utama
BBRM,Pelayaran Nasional Bina Buana,9-Jan-13,8.479.490.328,Utama
BBTN,Bank Tabungan Negara (Persero),17-Dec-09,10.484.100.000,Utama
BBYB,Bank Neo Commerce Tbk.,13-Jan-15,9.327.465.018,Utama
BCAP,MNC Kapital Indonesia Tbk.,8-Jun-01,42.618.850.927,Utama
BCIC,Bank JTrust Indonesia Tbk.,25-Jun-97,17.926.071.041,Pengembangan
BCIP,Bumi Citra Permai Tbk.,11-Dec-09,1.429.915.525,Pengembangan
BDMN,Bank Danamon Indonesia Tbk.,6-Dec-89,9.675.817.341,Utama
BEKS,Bank Pembangunan Daerah Banten,13-Jul-01,51.351.733.883,Pengembangan
BEST,Bekasi Fajar Industrial Estate,10-Apr-12,9.647.311.150,Utama
BFIN,BFI Finance Indonesia Tbk.,16-May-90,15.967.115.620,Utama
BGTG,Bank Ganesha Tbk.,12-May-16,16.303.371.203,Pengembangan
BHIT,MNC Asia Holding Tbk.,24-Nov-97,86.068.156.705,Utama
